delta,S,nu_min
0.01,2,-99.98500098468743
0.01,22,-99.98500098468743
0.01,42,-99.98500098468743
0.01,62,-99.98500098468743
0.01,82,-99.98500098468743
0.01,102,-99.98500098468743
0.01,122,-99.98500098468743
0.01,142,-99.98500098468743
0.01,162,-99.98500098468743
0.01,182,-99.98500098468743
0.060000000000000005,2,-16.576826769841574
0.060000000000000005,22,-16.576827703954166
0.060000000000000005,42,-16.57682774843566
0.060000000000000005,62,-16.576827764219423
0.060000000000000005,82,-16.576827772303808
0.060000000000000005,102,-16.576827777217797
0.060000000000000005,122,-16.57682778052068
0.060000000000000005,142,-16.576827782893158
0.060000000000000005,162,-16.576827784679885
0.060000000000000005,182,-16.576827786073874
0.11,2,-8.925988858556828
0.11,22,-8.926989230634113
0.11,42,-8.927036798092388
0.11,62,-8.927053675355188
0.11,82,-8.92706231950003
0.11,102,-8.92706757368259
0.11,122,-8.927071105139172
0.11,142,-8.927073641797856
0.11,162,-8.927075552109228
0.11,182,-8.92707704256492
0.16000000000000003,2,-6.00013163469403
0.16000000000000003,22,-6.012462342127131
0.16000000000000003,42,-6.013046003051317
0.16000000000000003,62,-6.013253032102074
0.16000000000000003,82,-6.013359055871361
0.16000000000000003,102,-6.01342349656153
0.16000000000000003,122,-6.013466806976937
0.16000000000000003,142,-6.013497916193986
0.16000000000000003,162,-6.013521343526124
0.16000000000000003,182,-6.013539621637985
0.21000000000000002,2,-4.395611135618812
0.21000000000000002,22,-4.448080703027427
0.21000000000000002,42,-4.450497580910181
0.21000000000000002,62,-4.451353438304995
0.21000000000000002,82,-4.451791450969163
0.21000000000000002,102,-4.452057577079774
0.21000000000000002,122,-4.452236399085056
0.21000000000000002,142,-4.452364824071031
0.21000000000000002,162,-4.452461525596598
0.21000000000000002,182,-4.452536965933545
0.26,2,-3.335756267374981
0.26,22,-3.456156757341591
0.26,42,-3.4615163025413005
0.26,62,-3.4634102010196393
0.26,82,-3.464378652927647
0.26,102,-3.464966792782576
0.26,122,-3.4653618761195295
0.26,142,-3.4656455573946
0.26,162,-3.4658591326768042
0.26,182,-3.46602573180783
0.31000000000000005,2,-2.5330302116414014
0.31000000000000005,22,-2.760531454533847
0.31000000000000005,42,-2.7697412850200234
0.31000000000000005,62,-2.7729756827615435
0.31000000000000005,82,-2.774625533995213
0.31000000000000005,102,-2.7756261401628946
0.31000000000000005,122,-2.776297725906596
0.31000000000000005,142,-2.7767796601174206
0.31000000000000005,162,-2.7771423375908397
0.31000000000000005,182,-2.7774251502645315
0.36000000000000004,2,-1.9121655827886355
0.36000000000000004,22,-2.2390585790401207
0.36000000000000004,42,-2.2519265713665755
0.36000000000000004,62,-2.256464597067881
0.36000000000000004,82,-2.258783266091889
0.36000000000000004,102,-2.2601907713079266
0.36000000000000004,122,-2.2611359998990386
0.36000000000000004,142,-2.261814570275459
0.36000000000000004,162,-2.262325373514144
0.36000000000000004,182,-2.2627237816998607
0.41000000000000003,2,-1.314539462281331
0.41000000000000003,22,-1.8261559707942072
0.41000000000000003,42,-1.8445867080465983
0.41000000000000003,62,-1.8509907327557669
0.41000000000000003,82,-1.8542432428642588
0.41000000000000003,102,-1.856211118921954
0.41000000000000003,122,-1.8575299055139478
0.41000000000000003,142,-1.858475275605322
0.41000000000000003,162,-1.859186157207273
0.41000000000000003,182,-1.859740166334532
0.46,2,-0.8160616092847095
0.46,22,-1.4833819263077266
0.46,42,-1.5068766300519543
0.46,62,-1.5151098527328193
0.46,82,-1.5193056552342652
0.46,102,-1.5218489956654708
0.46,122,-1.5235554524003085
0.46,142,-1.5247797258514235
0.46,162,-1.525700885746808
0.46,182,-1.5264191010204597
